tidn,buyercod,sellercod,odat,odai,onum,onai,ldat,term,desig2,wcat,desc,coprod,nrdel,nrdelai,delyears,buyer,seller,status,tivunit,tivorder,tivdel
55238,BF,ALB,2011,X,12,X,2011,N/A,M-43 120mm,AR,Mortar,L,12,,2011,Burkina Faso,Albania,S,0.02,0.24,0.24
31645,BOL,ARG,2006,,37,X,2006,AID,M-3/M-5 Half-track,AV,APC,L,37,X,2006,Bolivia,Argentina,S,0.06,2.22,2.22
53100,PAR,ARG,2007,,20,,2011,AID,M-3/M-5 Half-track,AV,APC,L,20,X,2011,Paraguay,Argentina,S,0.06,1.2,1.2
50741,ARG,AST,2006,X,4,X,2007,LIC,SK-105 Kurassier,AV,Light tank,L,4,,2007,Argentina,Austria,N,0.7,2.8,2.8
34732,BOL,AST,2009,X,9,,2010,N/A,DA40,AC,Light aircraft,L,9,,2010,Bolivia,Austria,N,0.15,1.35,1.35
51140,CZR,AST,2009,,107,,2013,ASS,Pandur-2,AV,APC,L,107,X,2009-2013,Czech Republic,Austria,N,0.27,28.89,28.89
58981,CZR,AST,2015,,20,,0,N/A,Pandur-2,AV,APC,L,,,,Czech Republic,Austria,N,0.27,5.4,0
34560,FRA,AST,2005,,2,,2007,LEAS,A-340,AC,Transport aircraft,L,2,X,2006-2007,France,Austria,S,54,108,108
37023,FRG,AST,2005,,81,,2009,N/A,M-16,EN,Diesel engine,L,81,X,2007-2009,Germany (FRG),Austria,N,0.02,1.62,1.62
37024,FRG,AST,2005,,75,,2007,N/A,M-16,EN,Diesel engine,L,75,X,2005-2007,Germany (FRG),Austria,N,0.02,1.5,1.5
51618,GHA,AST,2011,X,2,,2011,N/A,DA42MPP,AC,Reconnaissance ac,L,2,,2011,Ghana,Austria,N,0.5,1,1
53602,GHA,AST,2012,X,3,X,2012,N/A,DA42MPP,AC,Reconnaissance ac,L,3,,2012,Ghana,Austria,N,0.5,1.5,1.5
36815,ITA,AST,2003,,146,,2010,N/A,M-16,EN,Diesel engine,L,146,X,2005-2010,Italy,Austria,N,0.02,2.92,2.92
54002,JAM,AST,2011,X,2,,2013,N/A,DA42,AC,Light aircraft,L,2,,2013,Jamaica,Austria,N,0.35,0.7,0.7
53114,JOR,AST,2010,,2,,2011,N/A,Camcopter S-100,AC,UAV,L,2,,2011,Jordan,Austria,N,0.2,0.4,0.4
55745,KUW,AST,2008,,20,X,2009,N/A,M-14,EN,Diesel engine,L,20,X,2009,Kuwait,Austria,N,0.02,0.4,0.4
54122,KUW,AST,2010,,56,X,2014,N/A,Pandur,AV,IFV,L,56,X,2013-2014,Kuwait,Austria,N,0.3,16.8,16.8
57811,KUW,AST,2010,,24,X,2014,N/A,Pandur,AV,APC,L,24,X,2013-2014,Kuwait,Austria,N,0.3,7.2,7.2
54920,LYA,AST,2009,,4,,2011,N/A,Camcopter S-100,AC,UAV,L,4,,2011,Libya,Austria,N,0.2,0.8,0.8
59037,NIG,AST,2011,X,1,X,2012,POLI,DA42MPP,AC,Reconnaissance ac,L,1,X,2012,Nigeria,Austria,N,0.5,0.5,0.5
51097,NIR,AST,2008,X,2,,2008,N/A,DA42MPP,AC,Reconnaissance ac,L,2,,2008,Niger,Austria,N,0.5,1,1
56908,POL,AST,2012,,5,,2013,N/A,DA20,AC,Light aircraft,L,5,X,2013,Poland,Austria,N,0.16,0.8,0.8
34255,POR,AST,2005,,158,,2015,LIC,Pandur-2,AV,APC,L,158,X,2007-2015,Portugal,Austria,N,0.27,42.66,42.66
52254,POR,AST,2005,,30,,2015,LIC,Pandur-2,AV,IFV,L,30,X,2009-2015,Portugal,Austria,N,1.02,30.6,30.6
40074,SAU,AST,2008,X,37,X,2010,N/A,M12 120mm,AR,Mortar,L,37,,2010,Saudi Arabia,Austria,N,0.06,2.22,2.22
34225,SLO,AST,2003,,36,,2007,LIC,Pandur,AV,APC,L,36,X,2004-2007,Slovenia,Austria,N,0.3,10.8,10.8
57402,SPA,AST,2003,,100,X,2013,LIC,SP30,OT,IFV turret,L,100,X,2009-2013,Spain,Austria,N,0.6,60,60
50856,THA,AST,2008,,6,,2009,N/A,DA42,AC,Light aircraft,L,6,,2009,Thailand,Austria,N,0.35,2.1,2.1
51649,THA,AST,2010,X,3,,2011,N/A,DA42MPP,AC,Reconnaissance ac,L,3,X,2011,Thailand,Austria,N,0.5,1.5,1.5
52705,THA,AST,2010,,3,,2010,N/A,DA42MPP,AC,Reconnaissance ac,L,3,,2010,Thailand,Austria,N,0.5,1.5,1.5
54222,TRK,AST,2010,X,10,X,2011,N/A,Survivor-2,AV,APC,L,10,X,2011,Turkmenistan,Austria,N,0.2,2,2
23601,UAE,AST,2006,,60,,2010,LIC,Camcopter S-100,AC,UAV,L,60,X,2006-2010,UAE,Austria,N,0.2,12,12
51855,UGA,AST,2009,,6,,2010,N/A,Bell-206/OH-58,AC,Light helicopter,L,6,X,2009-2010,Uganda,Austria,S,0.28,1.68,1.68
56572,UK,AST,2008,,2,,2008,N/A,DA42,AC,Light aircraft,L,2,,2008,United Kingdom,Austria,N,0.35,0.7,0.7
51096,UK,AST,2008,,1,,2008,N/A,DA42MPP,AC,Reconnaissance ac,L,1,,2008,United Kingdom,Austria,N,0.5,0.5,0.5
38930,UK,AST,2006,,198,X,2007,N/A,Pinzgauer 6x6,AV,APC,L,198,X,2007,United Kingdom,Austria,N,0.16,31.68,31.68
38437,USA,AST,2010,X,10,,2011,N/A,Camcopter S-100,AC,UAV,L,10,X,2010-2011,United States,Austria,N,0.2,2,2
53927,USA,AST,2009,X,20,,2009,LEAS,DA40,AC,Light aircraft,L,20,,2009,United States,Austria,N,0.15,3,3
29371,USA,AST,1999,,33,X,2007,LIC,Pandur,AV,APC,L,33,X,2000-2007,United States,Austria,N,0.3,9.9,9.9
56510,VEN,AST,2014,,24,,2015,N/A,DA40,AC,Light aircraft,L,24,X,2014-2015,Venezuela,Austria,N,0.15,3.6,3.6
57838,VEN,AST,2014,,6,,2015,N/A,DA42,AC,Light aircraft,L,6,,2014-2015,Venezuela,Austria,N,0.35,2.1,2.1
51098,VEN,AST,2008,,6,,2012,N/A,DA42MPP,AC,Reconnaissance ac,L,6,X,2009-2012,Venezuela,Austria,N,0.5,3,3
35676,GHA,AUS,2004,,2,,2006,N/A,SB7L-360 Seeker,AC,Light aircraft,L,2,X,2006,Ghana,Australia,N,0.11,0.22,0.22
57069,IND,AUS,2004,X,11,,2011,LIC,Thornycroft 26m,SH,Patrol craft,L,11,X,2006-2011,India,Australia,N,8.3,91.3,91.3
58022,INS,AUS,2013,,3,,2014,N/A,Bushmaster,AV,APC,L,3,,2014,Indonesia,Australia,N,0.2,0.6,0.6
35939,INS,AUS,2013,,4,,2015,AID,C-130H Hercules,AC,Transport aircraft,L,4,X,2013-2015,Indonesia,Australia,R,18.48,73.92,73.92
55681,INS,AUS,2015,X,5,,0,N/A,C-130H Hercules,AC,Transport aircraft,L,,,,Indonesia,Australia,S,11.2,56,0
56850,JAM,AUS,2013,,12,,0,N/A,Bushmaster,AV,APC,L,6,X,2015,Jamaica,Australia,N,0.2,2.4,1.2
58065,JAP,AUS,2014,,4,,2014,N/A,Bushmaster,AV,APC,L,4,,2014,Japan,Australia,N,0.2,0.8,0.8
39045,JOR,AUS,2006,,6,,2006,LIC,SB7L-360 Seeker,AC,Light aircraft,L,6,X,2006,Jordan,Australia,N,0.11,0.66,0.66
38937,NET,AUS,2006,,25,,2006,N/A,Bushmaster,AV,APC,L,25,,2006,Netherlands,Australia,N,0.2,5,5
40334,NET,AUS,2007,,10,,2008,N/A,Bushmaster,AV,APC,L,10,,2007-2008,Netherlands,Australia,N,0.2,2,2
50317,NET,AUS,2008,,13,,2008,N/A,Bushmaster,AV,APC,L,13,,2008,Netherlands,Australia,N,0.2,2.6,2.6
51101,NET,AUS,2009,,14,,2009,N/A,Bushmaster,AV,APC,L,14,X,2009,Netherlands,Australia,N,0.2,2.8,2.8
51102,NET,AUS,2009,,9,,2009,N/A,Bushmaster,AV,APC,L,9,,2009,Netherlands,Australia,N,0.2,1.8,1.8
52073,NET,AUS,2015,,12,,0,N/A,Bushmaster,AV,APC,L,,,,Netherlands,Australia,N,0.2,2.4,0
52954,NET,AUS,2009,,14,,2009,N/A,Bushmaster,AV,APC,L,14,,2009,Netherlands,Australia,N,0.2,2.8,2.8
56684,NZ,AUS,2013,,0,,0,N/A,Penguin-2,MI,Anti-ship missile,L,20,X,2014-2015,New Zealand,Australia,S,0.3,0,6
31772,NZ,AUS,2004,,2,,2010,LIC,Tenix-1600,SH,OPV,L,2,,2010,New Zealand,Australia,N,22,44,44
24364,NZ,AUS,2004,,4,,2009,LIC,Tenix-340,SH,Patrol craft,L,4,,2009,New Zealand,Australia,N,12,48,48
57744,OMA,AUS,2014,,2,,0,N/A,HSSV-72,SH,Transport ship,,,,,Oman,Australia,N,0,0,0
58889,PAP,AUS,2014,,1,,2014,AID,Balikpapan,SH,Landing craft,L,1,,2014,Papua New Guinea,Australia,S,3.2,3.2,3.2
58527,PHI,AUS,2015,,2,,2015,AID,Balikpapan,SH,Landing craft,L,2,,2015,Philippines,Australia,S,3.2,6.4,6.4
58528,PHI,AUS,2015,X,3,,0,N/A,Balikpapan,SH,Landing craft,L,,,,Philippines,Australia,S,3.2,9.6,0
51054,SIN,AUS,2009,,100,,2011,N/A,R-600,OT,IFV turret,L,100,X,2010-2011,Singapore,Australia,N,0.6,60,60
54703,SIN,AUS,2012,,35,X,2013,N/A,R-600,OT,IFV turret,L,35,X,2012-2013,Singapore,Australia,N,0.6,21,21
57484,SRI,AUS,2014,X,2,,2014,AID,Bay,SH,Patrol craft,,2,,2014,Sri Lanka,Australia,S,2.6,5.2,5.2
58353,TON,AUS,2014,,1,,2015,N/A,Forgacs 30m,SH,Landing craft,,1,,2015,Tonga,Australia,N,5.4,5.4,5.4
39397,TRI,AUS,2008,,6,,2010,N/A,Austal-30m,SH,Patrol craft,L,6,,2010,Trinidad and Tobago,Australia,N,4,24,24
50141,UK,AUS,2008,,24,,2008,N/A,Bushmaster,AV,APC,L,24,X,2008,United Kingdom,Australia,N,0.2,4.8,4.8
36390,USA,AUS,2008,,1,,2012,LIC,JHSV,SH,Transport ship,L,1,,2012,United States,Australia,N,30,30,30
51511,USA,AUS,2009,,11,X,0,LIC,JHSV,SH,Transport ship,L,5,X,2013-2015,United States,Australia,N,30,330,150
54322,USA,AUS,2011,,3,,2011,N/A,KC-707,AC,Tanker/transport ac,L,3,,2011,United States,Australia,S,32,96,96
59260,DEN,BAS,2015,X,1,,2015,N/A,BN-2 Islander,AC,Light transport ac,L,1,,2015,Denmark,Bahamas,S,0.24,0.24,0.24
51258,BAH,BEL,2007,X,42,,2008,N/A,AIFV,AV,IFV,L,42,,2008,Bahrain,Belgium,S,0.36,15.12,15.12
51259,BAH,BEL,2007,X,8,X,2008,N/A,AIFV-APC,AV,APC,L,8,,2008,Bahrain,Belgium,S,0.12,0.96,0.96
39743,BEN,BEL,2007,,4,,2009,N/A,A-109,AC,Light helicopter,L,4,,2007-2009,Benin,Belgium,S,0.48,1.92,1.92
39836,BEN,BEL,2007,,18,,2007,N/A,M-113,AV,APC,L,18,X,2007,Benin,Belgium,S,0.1,1.8,1.8
